date,e10
2023-11-01 04:22:58,1.759
2023-11-01 04:49:03,1.789
2023-11-01 05:52:36,1.829
2023-11-01 06:27:28,1.819
2023-11-01 06:37:45,1.749
2023-11-01 08:32:42,1.799
2023-11-01 08:57:20,1.749
2023-11-01 11:32:59,1.809
2023-11-01 12:13:57,1.749
2023-11-01 13:44:11,1.729
2023-11-01 14:23:10,1.779
2023-11-01 14:47:47,1.729
2023-11-01 16:33:30,1.759
2023-11-01 17:48:20,1.739
2023-11-01 18:33:27,1.769
2023-11-01 19:03:17,1.729
2023-11-01 22:14:02,1.769
2023-11-02 04:48:02,1.799
2023-11-02 05:53:45,1.839
2023-11-02 06:33:47,1.819
2023-11-02 07:47:31,1.809
2023-11-02 07:53:40,1.769
2023-11-02 08:38:41,1.819
2023-11-02 08:58:06,1.809
2023-11-02 09:49:21,1.789
2023-11-02 11:33:54,1.819
2023-11-02 11:58:32,1.789
2023-11-02 12:28:13,1.769
2023-11-02 12:38:28,1.729
2023-11-02 12:52:53,1.719
2023-11-02 14:24:16,1.769
2023-11-02 14:48:54,1.719
2023-11-02 16:33:25,1.749
2023-11-02 16:57:59,1.729
2023-11-02 17:22:38,1.719
2023-11-02 18:33:21,1.749
2023-11-02 19:03:05,1.719
2023-11-02 22:14:02,1.759
2023-11-03 04:19:22,1.719
2023-11-03 04:48:02,1.749
2023-11-03 05:53:36,1.819
2023-11-03 07:43:19,1.809
2023-11-03 07:53:36,1.759
2023-11-03 08:07:57,1.739
2023-11-03 08:33:36,1.789
2023-11-03 08:58:15,1.779
2023-11-03 10:28:33,1.729
2023-11-03 11:38:14,1.789
2023-11-03 12:13:02,1.779
2023-11-03 13:28:53,1.729
2023-11-03 14:23:16,1.779
2023-11-03 14:47:52,1.719
2023-11-03 16:33:45,1.749
2023-11-03 16:58:21,1.729
2023-11-03 18:32:49,1.759
2023-11-03 19:03:36,1.729
2023-11-03 19:13:56,1.719
2023-11-03 22:13:49,1.759
2023-11-04 04:48:13,1.789
2023-11-04 05:54:00,1.829
2023-11-04 06:29:01,1.819
2023-11-04 07:33:42,1.789
2023-11-04 07:48:04,1.779
2023-11-04 08:33:17,1.829
2023-11-04 09:03:04,1.739
2023-11-04 09:12:22,1.729
2023-11-04 10:48:34,1.719
2023-11-04 11:32:30,1.779
2023-11-04 12:39:12,1.769
2023-11-04 12:43:18,1.739
2023-11-04 13:22:20,1.729
2023-11-04 14:23:53,1.779
2023-11-04 14:48:31,1.719
2023-11-04 16:38:22,1.749
2023-11-04 17:23:32,1.739
2023-11-04 17:58:29,1.729
2023-11-04 18:03:35,1.719
2023-11-04 18:34:22,1.749
2023-11-04 19:03:11,1.729
2023-11-04 19:13:28,1.719
2023-11-04 22:13:12,1.759
2023-11-05 04:49:11,1.789
2023-11-05 05:52:45,1.829
2023-11-05 06:27:40,1.819
2023-11-05 07:32:23,1.729
2023-11-05 08:32:57,1.779
2023-11-05 09:02:44,1.759
2023-11-05 10:12:47,1.729
2023-11-05 11:33:59,1.789
2023-11-05 12:19:11,1.779
2023-11-05 12:42:47,1.769
2023-11-05 13:08:32,1.729
2023-11-05 14:23:00,1.779
2023-11-05 14:43:31,1.729
2023-11-05 16:33:15,1.759
2023-11-05 17:08:09,1.749
2023-11-05 17:53:19,1.729
2023-11-05 18:34:23,1.759
2023-11-05 19:03:09,1.729
2023-11-05 22:13:12,1.769
2023-11-06 04:48:28,1.799
2023-11-06 05:53:10,1.829
2023-11-06 06:34:38,1.819
2023-11-06 07:34:06,1.809
2023-11-06 07:52:36,1.779
2023-11-06 08:33:31,1.829
2023-11-06 08:58:07,1.799
2023-11-06 09:18:40,1.779
2023-11-06 10:07:53,1.729
2023-11-06 10:43:46,1.719
2023-11-06 11:33:59,1.779
2023-11-06 13:13:18,1.719
2023-11-06 14:23:04,1.769
2023-11-06 14:48:40,1.709
2023-11-06 16:33:43,1.739
2023-11-06 16:57:46,1.719
2023-11-06 18:04:23,1.709
2023-11-06 18:33:07,1.739
2023-11-06 19:02:59,1.719
2023-11-06 19:13:15,1.709
2023-11-06 22:13:48,1.749
2023-11-07 04:17:55,1.749
2023-11-07 04:48:43,1.779
2023-11-07 05:53:26,1.829
2023-11-07 06:27:18,1.809
2023-11-07 07:48:33,1.799
2023-11-07 07:52:40,1.769
2023-11-07 08:02:53,1.739
2023-11-07 08:33:29,1.789
2023-11-07 09:03:13,1.779
2023-11-07 09:53:26,1.769
2023-11-07 10:12:57,1.749
2023-11-07 10:43:14,1.719
2023-11-07 11:33:27,1.779
2023-11-07 13:14:02,1.739
2023-11-07 13:23:17,1.719
2023-11-07 14:22:44,1.769
2023-11-07 14:44:19,1.709
2023-11-07 16:35:13,1.739
2023-11-07 17:23:12,1.719
2023-11-07 18:33:39,1.749
2023-11-07 19:05:53,1.719
2023-11-07 19:13:33,1.709
2023-11-07 20:58:55,1.699
2023-11-07 22:12:50,1.739
2023-11-08 04:22:45,1.699
2023-11-08 04:48:11,1.729
2023-11-08 05:52:58,1.809
2023-11-08 06:28:59,1.799
2023-11-08 07:48:08,1.789
2023-11-08 07:57:22,1.759
2023-11-08 08:33:11,1.809
2023-11-08 08:57:49,1.779
2023-11-08 09:49:05,1.769
2023-11-08 10:12:39,1.729
2023-11-08 10:22:54,1.719
2023-11-08 11:35:37,1.779
2023-11-08 12:39:24,1.759
2023-11-08 13:09:02,1.719
2023-11-08 13:27:53,1.709
2023-11-08 13:58:27,1.699
2023-11-08 14:23:32,1.749
2023-11-08 14:47:58,1.699
2023-11-08 16:33:57,1.729
2023-11-08 16:58:34,1.709
2023-11-08 18:04:26,1.699
2023-11-08 18:33:13,1.729
2023-11-08 19:03:00,1.699
2023-11-08 22:13:00,1.739
2023-11-09 04:51:56,1.769
2023-11-09 05:56:57,1.819
2023-11-09 06:28:00,1.799
2023-11-09 07:22:37,1.789
2023-11-09 07:37:58,1.779
2023-11-09 07:48:14,1.759
2023-11-09 08:07:45,1.749
2023-11-09 08:34:30,1.799
2023-11-09 09:03:17,1.769
2023-11-09 09:53:34,1.759
2023-11-09 09:57:40,1.729
2023-11-09 10:13:02,1.719
2023-11-09 10:33:28,1.709
2023-11-09 11:32:08,1.769
2023-11-09 12:04:56,1.709
2023-11-09 14:23:00,1.759
2023-11-09 14:48:38,1.699
2023-11-09 16:33:19,1.729
2023-11-09 17:22:39,1.709
2023-11-09 18:33:34,1.739
2023-11-09 19:03:21,1.709
2023-11-09 19:13:35,1.699
2023-11-09 20:59:14,1.689
2023-11-09 22:13:07,1.729
2023-11-10 04:08:08,1.729
2023-11-10 04:23:30,1.689
2023-11-10 04:48:11,1.719
2023-11-10 05:52:48,1.789
2023-11-10 07:43:38,1.779
2023-11-10 07:53:57,1.759
2023-11-10 07:58:04,1.749
2023-11-10 08:33:55,1.799
2023-11-10 08:58:33,1.769
2023-11-10 10:27:52,1.719
2023-11-10 10:48:26,1.709
2023-11-10 11:36:10,1.769
2023-11-10 13:20:45,1.709
2023-11-10 14:23:06,1.759
2023-11-10 14:44:01,1.699
2023-11-10 16:34:56,1.729
2023-11-10 16:53:53,1.719
2023-11-10 17:22:23,1.709
2023-11-10 18:33:59,1.739
2023-11-10 19:03:01,1.699
2023-11-10 19:13:40,1.689
2023-11-10 22:14:32,1.729
2023-11-11 04:18:58,1.729
2023-11-11 04:47:43,1.759
2023-11-11 05:53:22,1.809
2023-11-11 06:33:25,1.799
2023-11-11 07:18:40,1.789
2023-11-11 07:43:17,1.779
2023-11-11 07:57:43,1.749
2023-11-11 08:32:37,1.799
2023-11-11 09:03:30,1.779
2023-11-11 09:13:14,1.749
2023-11-11 10:13:00,1.709
2023-11-11 10:37:29,1.699
2023-11-11 11:37:28,1.759
2023-11-11 12:38:11,1.749
2023-11-11 13:08:27,1.719
2023-11-11 13:28:00,1.699
2023-11-11 14:23:33,1.749
2023-11-11 14:48:08,1.699
2023-11-11 16:32:57,1.729
2023-11-11 17:47:53,1.719
2023-11-11 18:32:57,1.749
2023-11-11 19:02:54,1.699
2023-11-11 19:13:13,1.679
2023-11-11 22:13:18,1.719
2023-11-12 04:49:10,1.749
2023-11-12 05:52:54,1.799
2023-11-12 07:29:30,1.709
2023-11-12 08:03:24,1.699
2023-11-12 08:33:11,1.749
2023-11-12 09:04:03,1.739
2023-11-12 09:12:14,1.699
2023-11-12 11:32:13,1.759
2023-11-12 12:27:46,1.749
2023-11-12 13:07:16,1.719
2023-11-12 13:27:39,1.699
2023-11-12 14:23:29,1.749
2023-11-12 14:42:46,1.699
2023-11-12 16:33:03,1.729
2023-11-12 17:49:03,1.719
2023-11-12 18:33:08,1.749
2023-11-12 19:02:52,1.699
2023-11-12 22:12:57,1.739
2023-11-13 04:48:51,1.769
2023-11-13 05:53:28,1.819
2023-11-13 06:32:27,1.799
2023-11-13 07:28:50,1.789
2023-11-13 07:43:09,1.779
2023-11-13 07:47:17,1.749
2023-11-13 08:33:27,1.799
2023-11-13 08:58:06,1.759
2023-11-13 09:12:34,1.729
2023-11-13 10:29:27,1.699
2023-11-13 11:33:04,1.759
2023-11-13 12:03:12,1.699
2023-11-13 14:22:30,1.749
2023-11-13 14:49:11,1.699
2023-11-13 16:32:53,1.729
2023-11-13 16:57:33,1.719
2023-11-13 17:48:51,1.709
2023-11-13 18:32:58,1.739
2023-11-13 19:02:51,1.689
2023-11-13 19:58:17,1.679
2023-11-13 22:12:14,1.719
2023-11-14 04:23:38,1.719
2023-11-14 04:48:14,1.749
2023-11-14 05:53:53,1.799
2023-11-14 07:19:05,1.789
2023-11-14 10:18:25,1.709
2023-11-14 11:34:17,1.739
2023-11-14 11:58:46,1.709
2023-11-14 13:13:16,1.689
2023-11-14 14:22:48,1.739
2023-11-14 14:43:12,1.689
2023-11-14 16:02:54,1.679
2023-11-14 16:33:46,1.709
2023-11-14 16:58:18,1.669
2023-11-14 18:33:20,1.699
2023-11-14 19:04:02,1.669
2023-11-14 22:12:41,1.709
2023-11-15 04:48:22,1.739
2023-11-15 05:59:14,1.789
2023-11-15 06:27:51,1.709
2023-11-15 08:03:47,1.679
2023-11-15 08:32:25,1.729
2023-11-15 08:57:57,1.719
2023-11-15 09:38:46,1.679
2023-11-15 10:27:51,1.669
2023-11-15 11:33:10,1.729
2023-11-15 12:02:45,1.669
2023-11-15 14:23:34,1.719
2023-11-15 14:49:05,1.669
2023-11-15 16:34:08,1.699
2023-11-15 16:58:51,1.689
2023-11-15 17:23:24,1.679
2023-11-15 17:43:48,1.669
2023-11-15 18:32:41,1.699
2023-11-15 19:03:18,1.669
2023-11-15 22:13:39,1.709
2023-11-16 04:47:27,1.739
2023-11-16 05:53:47,1.799
2023-11-16 06:28:26,1.789
2023-11-16 06:52:55,1.719
2023-11-16 08:33:51,1.769
2023-11-16 09:02:29,1.709
2023-11-16 09:13:42,1.689
2023-11-16 10:38:20,1.669
2023-11-16 11:33:22,1.729
2023-11-16 12:33:24,1.699
2023-11-16 13:07:58,1.669
2023-11-16 14:23:27,1.719
2023-11-16 14:47:54,1.669
2023-11-16 16:34:05,1.699
2023-11-16 16:58:33,1.669
2023-11-16 18:32:38,1.699
2023-11-16 19:03:16,1.669
2023-11-16 22:13:24,1.709
2023-11-17 04:49:06,1.739
2023-11-17 05:53:25,1.789
2023-11-17 07:27:16,1.779
2023-11-17 07:33:25,1.769
2023-11-17 07:47:41,1.669
2023-11-17 08:33:35,1.719
2023-11-17 09:03:07,1.709
2023-11-17 09:19:31,1.669
2023-11-17 11:33:09,1.729
2023-11-17 12:03:44,1.669
2023-11-17 12:57:50,1.659
2023-11-17 14:22:34,1.709
2023-11-17 14:48:07,1.659
2023-11-17 16:33:09,1.689
2023-11-17 17:03:43,1.679
2023-11-17 17:13:53,1.649
2023-11-17 18:33:30,1.679
